0.5,0.0074702,0.022274,4.2532,0.14074
1.125,-0.00014703,0.0039,2.0297,-0.057973
1.375,0.080335,-0.24981,2.4799,0.097033
1.625,0.19185,-0.27405,1.0137,0.38404
1.875,0.22984,-0.26249,0.40617,0.42426
2.125,0.24249,-0.27641,0.26529,0.28719
2.375,0.26732,-0.2706,0.45534,0.26338
2.625,0.27912,-0.26538,0.28194,0.52218
2.875,0.28294,-0.27421,0.39614,0.33931
3.5,0.49897,-0.47928,-0.13601,0.72273
4.5,0.51053,-0.49326,-0.22018,0.65725
5.5,0.51265,-0.45788,-0.055853,0.59903
7,0.58232,-0.5311,-0.21127,0.78291
9,0.57512,-0.51659,-0.19952,0.80136
11,0.56906,-0.49934,-0.20863,0.93661
13,0.55047,-0.47499,-0.24887,1.1057
15,0.54354,-0.46116,-0.26654,0.76585
18.5,0.60481,-0.48726,-0.24422,1.1569
23.5,0.56251,-0.42885,0.0040649,1.347
28.5,0.52082,-0.36122,0.13584,1.3929
33.5,0.48475,-0.29868,0.29881,1.4369
38.5,0.4311,-0.23809,-0.055203,1.5019
43.5,0.38067,-0.16386,0.42785,1.4654
48.5,0.34391,-0.13321,0.52045,1.4221
53.5,0.30764,-0.094694,0.46491,1.5878
58.5,0.26955,-0.032536,0.64918,1.3619
